ID,Domaine,Module,Titre,Description détaillée,Dépend de,Peut commencer sans dépendance,Priorité,Estimation (j)
B11,Utilisateur,Compte,Gestion des adresses,"Endpoint GET /users/me/addresses : liste toutes les adresses. Endpoint POST /users/me/addresses : créer une adresse (champs : prénom, nom, adresse1, adresse2, ville, région, code postal, pays, téléphone mobile). Endpoint PATCH /users/me/addresses/:id : modifier. Endpoint DELETE /users/me/addresses/:id : supprimer. Validation des champs à chaque écriture.",B10,Non,Haute,1
B12,Utilisateur,Compte,Gestion des méthodes de paiement,"Ne jamais stocker les données brutes de carte en BDD. Intégration Stripe (ou PayPal) : créer un customer Stripe à l'inscription. Endpoint POST /users/me/payment-methods : attacher une carte Stripe au customer (via PaymentMethod ID transmis par le frontend). Endpoint GET /users/me/payment-methods : lister les cartes (last4, brand, expiration). Endpoint DELETE /users/me/payment-methods/:id : détacher. Endpoint PATCH /users/me/payment-methods/:id/default : définir par défaut.",B10,Non,Haute,2
B13,Catalogue,Produits,CRUD produits (backoffice),"Endpoints /admin/products : GET (liste paginée + triable par toute colonne), POST (créer : nom, description, caractéristiques JSON, prix, catégorie, images, priorité, stock). GET /:id (détail). PATCH /:id (modifier). DELETE /:id (supprimer, confirmation). Validation stricte des champs. Upload des images vers un stockage objet (ex : S3 ou local). Sélection multiple + suppression groupée.",B09 B02,Non,Critique,3
B14,Catalogue,Produits,Lecture produits (site public),"Endpoints publics : GET /products/:id (détail produit : nom, description, caractéristiques, prix, disponibilité, catégorie, images). GET /products/:id/similar (6 produits de la même catégorie, disponibles en priorité, ordre aléatoire parmi disponibles). GET /categories/:id/products (liste produits d'une catégorie, triés : prioritaires > standards > épuisés, paginée).",B13,Non,Haute,2
B15,Catalogue,Catégories,CRUD catégories (backoffice),"Endpoints /admin/categories : GET (liste), POST (créer : nom, image, ordre d'affichage), PATCH /:id (modifier), DELETE /:id (supprimer si aucun produit lié, sinon erreur explicite). Gestion de l'ordre d'affichage (champ order, réorganisation par PATCH bulk).",B09 B02,Non,Haute,1
B16,Catalogue,Catégories,Lecture catégories (site public),"Endpoint GET /categories : retourner la liste des catégories (id, nom, image, ordre). Endpoint GET /categories/:id : détail d'une catégorie. Utilisé pour la page d'accueil (grille) et la page catalogue.",B15,Non,Haute,0.5
B17,Recherche,Recherche,Moteur de recherche avancé,"Endpoint GET /search?q=&title=&description=&features=&priceMin=&priceMax=&categoryIds=&availableOnly=&sortBy=&sortOrder=&page=&limit=. Implémenter les règles de priorité de correspondance : correspondance exacte > 1 caractère différent (distance de Levenshtein = 1) > commence par > contient. Options de tri : prix, nouveauté (date création), disponibilité. Filtres cumulables. Performance : résultat < 100ms (index BDD, éventuellement Elasticsearch ou pg_trgm pour PostgreSQL). Paginé.",B14,Non,Critique,4
B18,Panier,Panier,Gestion du panier (non connecté),"Endpoint POST /cart (anonyme, identifié par cookie ou session UUID) : ajouter un produit (productId, quantity). Endpoint GET /cart : retourner les items du panier avec détails produit (nom, prix actuel, disponibilité). Endpoint PATCH /cart/:itemId : modifier la quantité. Endpoint DELETE /cart/:itemId : supprimer un item. Calcul du total en temps réel (quantité × prix, toutes taxes). Vérifier la disponibilité à chaque GET.",B14,Non,Critique,2
B19,Panier,Panier,Fusion panier anonyme après connexion,"À la connexion d'un utilisateur ayant un panier anonyme : fusionner le panier anonyme (cookie) avec l'éventuel panier sauvegardé en BDD. Règle de fusion : si produit déjà présent, additionner les quantités. Supprimer le panier anonyme après fusion. Endpoint interne ou logique dans POST /auth/login.",B18 B05,Non,Haute,1
B20,Commande,Checkout,Création de commande,"Endpoint POST /orders (authentifié). Valider : panier non vide, tous les produits disponibles, adresse valide, méthode de paiement valide (Stripe PaymentMethod ID). Calculer le total final côté serveur (ne jamais faire confiance au total frontend). Créer la commande en BDD (statut 'pending'). Déclencher le paiement Stripe (PaymentIntent confirm). Si succès : passer statut à 'paid', vider le panier. Si échec : rollback, retourner l'erreur. Envoyer l'email de confirmation au client.",B12 B18 B11,Non,Critique,3
B21,Commande,Commandes,Lecture historique commandes (utilisateur),"Endpoint GET /orders (authentifié) : liste des commandes de l'utilisateur, paginée, groupable par année, filtrable par année/statut. Endpoint GET /orders/:id : détail complet (produits, quantités, prix, adresse de facturation, 4 derniers chiffres de carte, statut). Endpoint GET /orders/:id/invoice : générer et retourner la facture PDF (bibliothèque ex : PDFKit ou pdfmake). Endpoint GET /orders (recherche) : filtrer par nom produit ou date.",B20,Non,Haute,2
B22,Commande,Backoffice,Gestion commandes (backoffice admin),"Endpoints /admin/orders : GET (liste paginée + triable, filtres statut/date/user). GET /:id (détail complet). PATCH /:id/status (changer le statut : pending, paid, cancelled, refunded). Vue d'ensemble des commandes pour l'équipe support.",B09 B20,Non,Haute,2
B23,Accueil,Backoffice,Gestion carrousel (backoffice),"Endpoints /admin/carousel : GET (liste des 3 sections), POST (créer une section : image, texte, lien, ordre), PATCH /:id (modifier), DELETE /:id (supprimer), PATCH /reorder (modifier l'ordre par envoi d'un tableau d'IDs). Upload d'image vers stockage objet. Endpoint public GET /carousel pour le frontend.",B09 B02,Non,Haute,1
B24,Accueil,Backoffice,Gestion top produits (backoffice),"Endpoints /admin/homepage/top-products : GET (liste des produits sélectionnés), PUT (remplacer la sélection avec un tableau de productIds + ordre). Endpoint public GET /homepage/top-products retourne les produits triés avec détails.",B09 B13,Non,Haute,1
B25,Dashboard,Backoffice,Tableau de bord – ventes par jour/semaine,"Endpoint GET /admin/dashboard/sales?period=7days|5weeks. Agréger les ventes (montant total) par jour sur 7 jours ou par semaine sur 5 semaines. Retourner les données sous forme de série temporelle (labels + values) prêtes pour un histogramme. Optimiser la requête SQL (index sur created_at).",B22,Non,Haute,2
B26,Dashboard,Backoffice,Tableau de bord – paniers moyens par catégorie,"Endpoint GET /admin/dashboard/average-carts?period=7days|5weeks. Calculer le panier moyen par catégorie (total ventes catégorie / nombre commandes contenant cette catégorie) sur la période. Retourner une structure multi-couches (catégorie + valeur par période). Prêt pour histogramme multi-couches.",B22 B25,Non,Haute,2
B27,Dashboard,Backoffice,Tableau de bord – répartition ventes par catégorie,"Endpoint GET /admin/dashboard/sales-by-category?period=7days|5weeks. Calculer la part de chaque catégorie dans le total des ventes sur la période. Retourner label (nom catégorie) + valeur (montant ou %) pour affichage en camembert (pie chart).",B22 B25,Non,Haute,1
B28,Contact,Contact,Réception messages de contact,"Endpoint POST /contact : valider email (format), sujet (non vide), message (non vide). Sauvegarder le message en BDD. Retourner confirmation. Endpoint /admin/contact/messages : liste paginée des messages reçus, avec statut lu/non lu. Endpoint /admin/contact/messages/:id : marquer comme lu, voir détail.",B09 B02,Non,Moyenne,1
B29,Contact,Chatbot,Logs et escalade chatbot,"Endpoint POST /chatbot/log : enregistrer chaque échange chatbot (user message + bot response + timestamp + sessionId). Endpoint POST /chatbot/escalate : créer une notification dans le backoffice qu'un utilisateur demande un agent humain (email/sujet/sessionId). Endpoint /admin/chatbot/logs : consulter les conversations par session.",B28,Non,Moyenne,2
B30,Email,Transverse,Service d'envoi d'emails transactionnels,"Configurer un service d'email (ex : SendGrid, Mailgun, Nodemailer + SMTP). Créer des templates HTML pour : confirmation d'inscription, reset mot de passe, confirmation de changement d'email, confirmation de commande (avec récapitulatif produits + montant + adresse). Tous les liens tokenisés doivent expirer (24h). Gestion des erreurs d'envoi (retry, logs).",B01,Non,Critique,2
B31,Sécurité,Transverse,Sécurité backend globale,"Implémenter : rate limiting (ex : express-rate-limit) sur les endpoints sensibles (login, register, forgot-password). Protection CSRF (tokens ou SameSite cookies). Validation et sanitisation de tous les inputs (ex : Zod ou class-validator). En-têtes HTTP sécurisés (Helmet.js). Protection contre injection SQL (via ORM paramétré). Gestion des erreurs sans fuite d'information interne (messages génériques en prod). Logs de sécurité (tentatives échouées, erreurs 4xx/5xx). Certificat SSL (HTTPS obligatoire).",B01,Non,Critique,3
B32,Upload,Transverse,Service upload et stockage d'images,"Configurer le stockage d'images (S3, MinIO, ou local avec CDN). Endpoint POST /admin/upload : accepter fichiers image (JPEG, PNG, WebP), valider le type MIME et la taille (ex : max 5MB), renommer en UUID, optimiser (ex : Sharp pour resize/compress), stocker et retourner l'URL. Utilisé par les endpoints produits, catégories, carrousel.",B09 B01,Non,Haute,2
B33,API,Transverse,Documentation API (Swagger/OpenAPI),"Documenter tous les endpoints avec Swagger/OpenAPI 3.0 : méthode HTTP, path, paramètres (query, body, path), schémas de requête/réponse, codes d'erreur, authentification requise (JWT Bearer). Générer l'interface Swagger UI accessible en développement (/api-docs). Exporter le fichier openapi.json pour Postman.",B01,Non,Haute,3
B34,Documentation,Transverse,Documentation technique backend,"Rédiger : guide d'installation (Node version, variables d'environnement, BDD setup, commandes de migration). Architecture du code commentée (modules, flux de données). Justification des choix techniques. Plan de maintenance et scalabilité (connexion pool, caching, horizontal scaling). Intégrer au repo GIT. Format : Markdown.",B01,Non,Haute,2
